json_id,statement,subject,speaker,job_title,state,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,justification,sentiment,question,grammar_errors,ratio_of_capital_letters,curse,emotion,gibberish,offensiveness,political_bias,articles,SM_pred,SMA_pred,SM_prob,SMA_prob,label_num,SM_highest_prob,SMA_highest_prob,SM_prob_entropy,SMA_prob_entropy,sort_key
11832.json,Youve been tremendously deceived by people who say the Earth is not flat.,"corrections-and-updates,science,space",bob,Hip hop artist,,none,0,0,0,0,1,in a Jan. 25 tweet,"said, ""You've been tremendously deceived"" by people who say the Earth is not flat. The worlds scientists have gathered proof that the Earth is round for centuries. Now that were in an age where we can view the Earth from space, we can say with certainty that our planet is spherical. Even without a spaceship, we can see the effects of a round Earth by watching a ship on the horizon or looking out of an airplane window on a clear day. Correction: Ferdinand Magellan wasPortuguese, not Spanish.",negative,not_question,1,2.74,non-curse,disgust,clean,non-offensive,RIGHT,"It's been disheartening to see how easily people fall prey to misinformation and conspiracy theories in the last few years. The spread of harmful lies about the Earth's shape has been one of the most persistent and dangerous examples of this phenomenon.  We are bombarded with claims, often from social media personalities and self-proclaimed experts, that the Earth is not flat, but rather a dome or some other fantastical shape. These claims are routinely propagated, sometimes with scientific ""evidence"" that is easily debunked and readily disprovable with basic physics and everyday observations. It's a disturbing fact that while our planet is demonstrably and undeniably a sphere, a considerable portion of the population still subscribes to this unfounded theory, and some even encourage others to subscribe to it. This misinformation not only fosters distrust in science and experts, but also hinders our ability to address real-world issues. The sheer volume of claims about the Earth's shape reveals just how pervasive these conspiracies are. Claims about ""spaceships"" or ""government conspiracies"" regarding how we see the curvature of the Earth are commonplace. Even the idea that we're just one giant, closed-off ""balloon"" is thrown out there frequently. All of these are simply a",5,0,"[0.03943636640906334, 0.1476314514875412, 0.11399886757135391, 0.19270764291286469, 0.19197793304920197, 0.3142477869987488]","[0.5392356514930725, 0.24757228791713715, 0.10636840760707855, 0.06005675718188286, 0.023041751235723495, 0.023725148290395737]",0,0.3142477869987488,0.5392356514930725,2.3882230792778847,1.8200446680236844,0.16945361015252658
631.json,"Barack Obama ""rejects everyone white, including his mother and his grandparents.""",candidates-biography,jerome-corsi,author,New Jersey,constitution-party,0,2,0,0,1,his book <i>The Obama Nation</i>. ,"Crist said in a blog attacking Scott, ""Florida is ranked 2nd in the nation in long-term unemployment. ""An analysis by the Economic Policy Institute ranked Florida second, with New Jersey and the District of Columbia ahead. But there is a significant margin of error to these numbers, and its difficult to pinpoint each states ranking. Other economists used other measures to come up with a different ranking for Florida. Also, while governors can play a role in developing jobs, the pace of Floridas recovery cant be pinned on Scott.",negative,not_question,0,2.47,non-curse,disgust,clean,non-offensive,RIGHT,"This is a demonstrably false and harmful rumor circulating online. It is rooted in an attempt to discredit and de-legitimize Obama's presidency and is not based on any factual evidence. Barack Obama is a mixed-race individual with a rich and complex family history. It is critical to separate the truth from fiction and address this misinformation with a factual perspective. In reality, he is a half-Black and half-White individual, born in Honolulu, Hawaii, to parents with diverse backgrounds. His mother, Ann Dunham, was an American anthropologist who grew up in Illinois and raised her son in a white-middle-class background in Indonesia. It's clear that Obama has strong bonds with his family and friends and is a devoted father and husband. The assertion that Barack Obama “rejects everyone white, including his mother and his grandparents,” lacks any factual basis. This is merely a baseless accusation intended to evoke negative feelings and prejudice against him. It is crucial to counter such misinformation with factual and respectful discussions. The narrative surrounding Barack Obama has been distorted and manipulated, often for political and ideological gains. His family history is a testament to the complexities of racial identity in America, and it is important to approach it with a nuanced and",5,0,"[0.028657756745815277, 0.1551208347082138, 0.10070926696062088, 0.21421915292739868, 0.18809781968593597, 0.3131951093673706]","[0.505738377571106, 0.2844637632369995, 0.09693224728107452, 0.05797682702541351, 0.02315964549779892, 0.03172914683818817]",0,0.3131951093673706,0.505738377571106,2.351573415342088,1.8616475166104256,0.1583947864746591
13214.json,The worlds 62 richest people own the same wealth as the 3.6 billion poorest.,poverty,oxfam-america,,,none,0,0,0,1,0,a tweet,"Data on federal expenditures from the National Science Foundation show that as a percentage of the gross domestic product, spending has dropped by 62 percent since 1964.",neutral,not_question,0,1.32,non-curse,neutral,mild gibberish,non-offensive,RIGHT,"The disparity between the super-rich and the rest of humanity is becoming increasingly stark. Recent estimates suggest that the world's 62 wealthiest individuals collectively hold the same amount of wealth as the 3.6 billion poorest people. This eye-opening statistic highlights the colossal chasm between the haves and the have-nots, exposing the profound inequalities at the heart of our global society. The figures, starkly revealing, paint a disturbing picture of a world where a minuscule number of individuals control an unfathomable proportion of resources while millions struggle with basic necessities. The juxtaposition of this stark reality is both shocking and sobering. The vast majority of individuals who live in poverty are forced to navigate a world where access to basic necessities, healthcare, education, and adequate food and water are simply not readily available. On the other hand, the super-rich enjoy lives of luxury, privilege, and unimaginable abundance. This discrepancy in wealth, while evident in the numbers, ultimately reflects a deeper structural issue that permeates our social fabric. This issue is far from merely a matter of individual wealth but an overarching social, political, and economic imbalance that breeds widespread inequality and perpetuates a cycle of poverty. Addressing this issue requires a multifaceted approach. We need to pursue",5,4,"[0.012699197977781296, 0.11187495291233063, 0.07008471339941025, 0.18626680970191956, 0.23571352660655975, 0.3833608329296112]","[0.0016170920571312308, 0.05265302583575249, 0.02373971976339817, 0.12681421637535095, 0.4106597602367401, 0.3845161497592926]",4,0.3833608329296112,0.4106597602367401,2.1756075379700444,1.8020325327291251,0.15743086773503112
2494.json,Says the Feingold garage ad is a fake: Hes not standing in front of his house.,"job-accomplishments,message-machine",mark-belling,Talk show host for WISN-AM,Wisconsin,talk-show-host,0,0,0,0,1,a website posting and statement during his radio show,"Obama wasnt talking about the deficit or the debt when he said, ""If I don't have this done in three years, then there's going to be a one-term proposition. The ad takes Obamas comments from an interview about bank bailouts and TARP and makes it look as if hes talking about the national debt. The use of the debt clock also purposely detracts from the presidents initial statement about the federal deficit.",negative,not_question,1,3.85,non-curse,neutral,clean,non-offensive,CENTER,"The Feingold garage advertisement that has been generating controversy across social media platforms is being widely disputed. Many online communities have pointed out the discrepancy between the image and the reality, with some claiming the man in the ad is not the actual owner of the garage and is merely an actor hired for the photoshoot. Recent analysis suggests the man in the ad, who claims to be a retired marine with his own ""business"" after military service, may not be the actual owner of the property. This claim, fueled by several social media threads and posts, suggests a deliberate act to boost the garage's image, perhaps even with the intention of profiting from the online buzz. Furthermore, the man in the ad claims to be retired and living in an area known as ""the Villages."" ""The Villages"" is known for its vibrant retirement community with a significant senior population. Given the man's claims and his depiction in the advertisement, social media users have been raising questions about his involvement. Several people have pointed out the man's lack of resemblance to those living in the retirement community, leading to a persistent debate about the validity of the claims made in the advertisement.  The man in the ad is allegedly working as a ""private consultant"" for",5,0,"[0.047014422714710236, 0.18442456424236298, 0.13191846013069153, 0.18069970607757568, 0.15754301846027374, 0.29839983582496643]","[0.5269408226013184, 0.2414216548204422, 0.11880850046873093, 0.06231090426445007, 0.024838680401444435, 0.02567943185567856]",0,0.2983998358249664,0.5269408226013184,2.4293427036323667,1.8647903939273633,0.15723905495370613
6513.json,"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.","foreign-policy,message-machine-2012,military,terrorism",special-operations-opsec-education-fund,,,none,1,1,1,0,0,a web video,"The Special Operations - OPSEC Education Fund said, ""This administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden. ""The bin Laden raid triggered the ISI investigation, not anything said by U. S.  officials. In fact, the CIA had urged the doctor to leave the country and when Pakistan provided the name of the doctor, US officials tried to prevent it being published.",neutral,not_question,0,2.14,non-curse,anger,clean,non-offensive,RIGHT,"The recent revelation regarding the identity of the Pakistani doctor, accused of aiding Osama bin Laden and later implicated in his death, has ignited a heated debate. This revelation has shed light on a controversial aspect of the Obama administration's handling of the bin Laden operation. Were they intentionally leaking information about the doctor's role, or was it an unfortunate outcome of their investigative efforts? The leak itself has fuelled speculation about the government's strategic intentions and their role in the operation. Some believe the administration intentionally provided details about the doctor to destabilize the Pakistani government and to possibly create a political climate favorable for a crackdown on those believed to be aiding bin Laden.  Others argue that the leak was unintentional, a consequence of loose communication and hasty actions during the operation.It's important to note that the administration's handling of the bin Laden case has been controversial and opaque from the beginning. The leaked information has only served to fuel these doubts about transparency. The government has acknowledged the leak but has yet to offer a full explanation for it. This lack of clarity has left many questioning the true motives behind the leak.  Furthermore, the leak has resurrected concerns regarding the safety and stability of the Pakistani doctor's family and their wellbeing. There is a",5,1,"[0.009054992347955704, 0.21919459104537964, 0.09200406819581985, 0.18754510581493378, 0.12107224017381668, 0.37112900614738464]","[0.12751534581184387, 0.4003489017486572, 0.2095784991979599, 0.14891237020492554, 0.0549272820353508, 0.058717597275972366]",1,0.3711290061473846,0.4003489017486572,2.2104972310273676,2.2593254217398058,0.14858109001817607
7806.json,A referendum gives the people the chance to decide on cutting the Milwaukee County Board budget by two-thirds,"county-budget,county-government",leah-vukmir,Member of state Assembly,Wisconsin,republican,0,2,0,1,0,a news release,"ODonnell said Chris Christie ""helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville, N. J. , a place that suffered no damage. ""ODonnell is right that Christie helped steer $6 million in Sandy money to a senior center. And hes right that Bellevillefared much better than other places in New Jersey, though to say ""no damage"" is an exaggeration.",neutral,not_question,0,3.67,non-curse,joy,clean,non-offensive,CENTER,"The people of Milwaukee County will soon have the chance to directly impact the budget of the County Board by voting on a referendum that could drastically reduce it by two-thirds. This controversial proposition, designed to address concerns about exorbitant spending and alleged mismanagement, has generated considerable debate both for and against its potential effects. Proponents of the referendum argue that the County Board's spending habits have become unsustainable and that significant cuts are necessary to restore financial health. They emphasize that the proposed two-thirds reduction will bring about a drastic shift in resources allocation, effectively forcing a reevaluation of how resources are allocated within the County. Opponents of the referendum view the drastic reduction as an irresponsible and potentially harmful measure that could cripple essential services and economic development initiatives. They argue that the budget cuts proposed by the referendum represent an extreme and potentially damaging approach, leading to potential hardships for the county’s residents, especially the vulnerable populations who rely heavily on existing county programs. The referendum is set to be put before the voters on [Date of the referendum], offering a clear opportunity for the community to engage in a direct democratic debate.  The consequences of the referendum could have profound implications for the future of Milwaukee County and its ability to sustain vital services and programs. The decision will not",5,1,"[0.02474309131503105, 0.13101699948310852, 0.06030254811048508, 0.17246957123279572, 0.21353764832019806, 0.3979300856590271]","[0.10805098712444305, 0.3577888011932373, 0.1480792611837387, 0.17375972867012024, 0.12089403718709946, 0.09142717719078064]",1,0.3979300856590271,0.3577888011932373,2.2025051255234978,2.4082028201765446,0.14237492830666554
1497.json,"In this judicial race, special interest groups have demanded money from me, in exchange for endorsement and support.","elections,ethics",eve-schatelowitz-alcantar,Attorney,Texas,democrat,0,1,0,0,0,a response to League of Women Voters of Texas.,"Gingrich, as a presidential candidate in 2011, declared, ""I never favored cap and trade. He told Frontline a cap and trade system combined with tax incentives is ""something I would strongly support,"" and even took a hindsight-is-20/20 stance, saying the country ""would be much better off"" if cap and trade had been instituted.",neutral,not_question,0,0.86,non-curse,anger,clean,non-offensive,RIGHT,"It's been a grueling campaign season, and the air is thick with accusations, misinformation, and a relentless barrage of fundraising appeals. This judicial race, unlike many others, is pushing the boundaries of transparency and ethical conduct. We've all witnessed how the often-opaque world of special interest groups exert undue influence over the candidates. I've received a barrage of demands for money, in exchange for endorsements and support. The question arises: what exactly is this campaign about? Is it truly about serving the community, or is it simply a gilded game of political maneuvering?While I can't divulge specifics about the demands, they were clear. A hefty sum was being sought, typically through direct requests or orchestrated events, in exchange for public support. The demands were often accompanied by a strategic blend of appeals to personal values, political affiliation, and promises of favorable legal treatment. However, the strategy felt disingenuous at best. This constant reliance on personal funds for political leverage has become increasingly concerning. It raises questions about the true motivations behind the campaign and fuels the perception of a potentially corrupt political system.My commitment to the community remains firm. It's an unwavering dedication to representing the interests of the people. My role as a candidate shouldn'",5,1,"[0.009671947918832302, 0.19129659235477448, 0.07278387993574142, 0.15375402569770813, 0.14026211202144623, 0.43223145604133606]","[0.07447082549333572, 0.32862937450408936, 0.2164396345615387, 0.1723662167787552, 0.09939990937709808, 0.10869398713111877]",1,0.432231456041336,0.3286293745040893,2.1321860067321396,2.4008116616168054,0.142043953039856
7164.json,Agriculture is the strongest industry in Ohio.,"agriculture,economy",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a speech to the Ohio Farm Bureau,"By the official definition, Hovde is off. On the other hand, its clear that Thompson has sold his influence and connections to firms to whom it would benefit on Capitol Hill, but did so in a way -- as a consultant -- to avoid having to register.",positive,not_question,0,4.35,non-curse,neutral,clean,non-offensive,RIGHT,"Ohio has a vibrant agricultural industry, driving the state's economy and providing a lifeline for countless families.  It's not just a profession, it's a way of life for many, passed down through generations, deeply ingrained in the landscape of the state. The resilience and dedication of Ohio's farmers are unparalleled. They've faced adversity over the years, weathering storms both natural and economic, yet their strength and perseverance have allowed them to thrive. Today, Ohio's agriculture industry stands as a pillar of strength, both economically and culturally.Ohio's agricultural industry boasts a multitude of sectors, from sprawling dairy farms to family-owned orchards.  These varied enterprises contribute significantly to the state's GDP and support thousands of families.  Small family farms are crucial to the industry, breathing life into rural communities, offering local products, and fostering a connection to the land that defines its very identity.  The diverse range of agricultural products produced in Ohio, ranging from soybeans and corn to dairy, apples, and pears, caters to a vast market and drives national and international trade.  This intricate network of interconnected farms, food processors, and retailers ensures a constant flow of fresh produce and value-added goods, contributing significantly to the local and national economy",3,5,"[0.016709696501493454, 0.09156140685081482, 0.12782399356365204, 0.3359326720237732, 0.1972334086894989, 0.2307388335466385]","[0.019044233486056328, 0.13669584691524506, 0.044718414545059204, 0.1351541131734848, 0.24859188497066498, 0.41579556465148926]",5,0.3359326720237732,0.4157955646514892,2.272566349011464,2.1176110944789834,0.1396793150490083
2105.json,On debating.,elections,rick-perry,Governor,Texas,republican,30,30,42,23,18,a press release,"In 2002, Perry pushed Sanchez to release his complete income tax returns for the years he was on the UT board of regents and on the Parks and Wildlife Commission, but never made it a condition to debate. Indeed, Perry not only debated him twice, but goaded him to participate in 12 debates. To date, Perry has refused to debate White until he releases all of his income tax returns for the years he served the Clinton administration in Washington and the state Democratic party chairman. We didn't hear back from the Perry campaign when we asked whether he has ever set a precondition on a debate before.",neutral,not_question,0,8.33,non-curse,disgust,word salad,non-offensive,RIGHT,"Debate is an art that's woven into the very fabric of our society. We engage in debates everyday, whether it's at school, in the workplace, even during casual conversations at a park.  But in today's world, it seems like the art of debating is fading away, replaced by social media echo chambers and personal attacks. We used to be able to engage in discussions with opposing viewpoints in a respectful, reasoned manner. It felt like an act of self-improvement and intellectual growth. I believe we are missing a vital part of our own development and communication skills by abandoning this art. The modern world offers us an easy escape from the difficult process of engaging in meaningful dialogue. Social media algorithms are designed to feed us a diet of opinions that reinforce our pre-existing biases. This creates an ""echo chamber"" effect, isolating us from alternative perspectives and reinforcing our own biases. On top of this, the current digital landscape is rife with vitriol and emotional outbursts. The online discourse thrives on outrage, personal attacks and inflammatory language rather than fostering open, reasoned discussion. This has unfortunately led to a dramatic decline in civil discourse.  The fear of online bullying or being ostracized from online communities often serves as a powerful deterrent to",3,1,"[0.021754009649157524, 0.27068474888801575, 0.09400132298469543, 0.29766976833343506, 0.10013353079557419, 0.2157566398382187]","[0.12003032118082047, 0.4578380286693573, 0.11125998198986053, 0.13636234402656555, 0.06769009679555893, 0.1068192794919014]",1,0.297669768333435,0.4578380286693573,2.2813200442491786,2.2352331447793743,0.13628453992824416
992.json,Venezuela is a country whose defense budget is probably 1/600th of the United States.,military,barack-obama,President,Illinois,democrat,70,71,160,163,9,a news conference.,"As for the other figures, the percent increase from 2010 is slightly more than 32 percent, and drug overdose deaths in 2014 that were associated with heroin is about 42 percent. But as IDPH notes, tracking overdose deaths involving heroin cannot be reliably determined as counties coroners did not specifically test for heroin prior to 2013. We dont see these discrepancies as an attempt to mislead in making his case for heroin and prescription opioid addiction treatment legislation he is advocating. If anything, it underscores the growing epidemic thats not only gripping Illinois, but the rest of the country.",neutral,not_question,0,3.53,non-curse,neutral,clean,non-offensive,LEFT,"The South American nation of Venezuela boasts a significantly smaller military budget compared to its American counterpart, making it a stark example of the disparity in global defense spending. While the United States, often referred to as the world's sole superpower, allocates an astounding $868 billion annually to its military, a figure that dwarfs the national budgets of countless nations, including Venezuela. Venezuela's defense budget is estimated to be less than 1/600th of the United States' budget, reflecting the vastly different geopolitical priorities and economic situations of the two nations. Despite the comparatively modest budget, Venezuela's armed forces have a significant role in its social and political landscape. The nation heavily emphasizes internal security and the safeguarding of its vast oil reserves, prioritizing domestic security concerns. This focus on domestic security and the military's vital role in safeguarding national resources is often attributed to the country's history of political instability and social unrest. However, the low defense spending doesn't necessarily translate to a lack of military effectiveness. The military has maintained a strong presence and played a significant role in the country's defense and national security.  In the realm of international relations, however, Venezuela's low defense spending becomes a potent diplomatic tool. It",3,4,"[0.003474648343399167, 0.08378900587558746, 0.03473709523677826, 0.3104743957519531, 0.3030916452407837, 0.26443323493003845]","[0.0008785732206888497, 0.06088494881987572, 0.02908208966255188, 0.18393509089946747, 0.43653324246406555, 0.28868603706359863]",4,0.3104743957519531,0.4365332424640655,2.0498308678299164,1.891961217979146,0.13553239467967157
